,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,state
665,Goose Lake,10947,Valid,"Iron, IAB-sLL",1169500.0,Found,1938.0,41.98,-120.54167,"(41.980000, -120.541670)",US-CA
666,Grady (1933),10951,Valid,L3-6,4230.0,Found,1933.0,34.8,-103.31667,"(34.800000, -103.316670)",US-NM
667,Grady (1937),10952,Valid,H3.7,9300.0,Found,1937.0,34.8,-103.31667,"(34.800000, -103.316670)",US-NM
668,Grady (c),10953,Valid,H4,5700.0,Found,1970.0,34.8,-103.31667,"(34.800000, -103.316670)",US-NM
669,Granada Creek,10954,Valid,H,479.0,Found,1975.0,37.96667,-102.33333,"(37.966670, -102.333330)",US-CO
670,Grand Rapids,10955,Valid,"Iron, ungrouped",51700.0,Found,1883.0,42.96667,-85.76667,"(42.966670, -85.766670)",US-MI
671,Grandview,47730,Valid,L5,6400.0,Found,2008.0,32.788333,-101.938333,"(32.788333, -101.938333)",US-TX
672,Grant,10957,Valid,"Iron, IIIAB",525000.0,Found,1929.0,35.16667,-107.88333,"(35.166670, -107.883330)",US-NM
673,Grant County,10958,Valid,L6,2300.0,Found,1936.0,37.46667,-101.43333,"(37.466670, -101.433330)",US-KS
674,Grassland,10959,Valid,L4,4400.0,Found,1964.0,33.11667,-101.58333,"(33.116670, -101.583330)",US-TX
675,Grayton,11177,Valid,H5,11300.0,Found,1983.0,30.31167,-86.16667,"(30.311670, -86.166670)",US-FL
676,Great Bend,11180,Valid,H6,28770.0,Found,1983.0,38.395,-98.91583,"(38.395000, -98.915830)",US-KS
677,Greaterville,11193,Valid,L4,48.0,Found,1995.0,31.76167,-110.75,"(31.761670, -110.750000)",US-AZ
678,Greenbrier County,11194,Valid,"Iron, IIIAB",5000.0,Found,1880.0,37.83333,-80.31667,"(37.833330, -80.316670)",US-VA
679,Greener Reservoir,30666,Valid,H4,45.0,Found,2004.0,39.49133,-112.942,"(39.491330, -112.942000)",US-UT
680,Greenwell Springs,11195,Valid,LL4,664.0,Found,1987.0,30.51528,-91.01222,"(30.515280, -91.012220)",US-LA
681,Gretna,11201,Valid,L5,82000.0,Found,1912.0,39.93333,-99.21667,"(39.933330, -99.216670)",US-KS
682,Grier (a),11202,Valid,OC,12.4,Found,1969.0,34.38167,-103.39167,"(34.381670, -103.391670)",US-NM
683,Grier (b),11203,Valid,L5-7,929.4,Found,1969.0,34.26667,-103.38333,"(34.266670, -103.383330)",US-NM
684,Griffith,11204,Valid,"Iron, ungrouped",6000.0,Found,1985.0,33.71667,-102.81667,"(33.716670, -102.816670)",US-TX
685,Griffith Wash,55289,Valid,L6,93.0,Found,2011.0,35.06639,-114.0975,"(35.066390, -114.097500)",US-NV
686,Gruver,11428,Valid,H4,13100.0,Found,1934.0,36.33333,-101.4,"(36.333330, -101.400000)",US-TX
